"Qualcomm Snapdragon 200 8210","26.9"
"MediaTek MT8317T","4.3"
"MediaTek MT6577","5.7"
"Samsung Exynos W920","6.8"
"Samsung Exynos 9110","21.2"
"ST-Ericsson NovaThor U8500","30.8"
"ST-Ericsson NovaThor U8420","18.2"
"MediaTek MTK 8113L","24"
"MediaTek MT6575","35.7"
"NXP i.MX 6SLL","5.8"
"Qualcomm Snapdragon S2 MSM8255",""
"AllWinner A10","0.5"
"Apple A4","4.5"
"AllWinner A13","25.8"
"WonderMedia PRIZM WM8950","5.1"
"Samsung Hummingbird S5PC110 / Exynos 3110",""
"UNISOC T107","2.6"
"Qualcomm Snapdragon S1 MSM7227A",""
"Qualcomm Snapdragon S1 MSM7225A","3.6"
"Rockchip RK2918","2.4"
"Actions ACT-ATM7029",""
"Qualcomm Snapdragon S1 QSD8250","4.3"
"Qualcomm Snapdragon S1 MSM7227",""
